,screen_pixel_size,new_response_max,new_response_min,viewing_distance,image_height,image_width,num_flank,flank_distance,target_orientation,flank_orientation,gap,offset,image,sigma,K,rms,rrms,resp.keys,resp.rt,expName,session,date,participant
0,0.282,100,0,22.0,600,600,1,-1.0,0,45,0,10,pachai_01_-1_00_45_00.png,0.8119026961336693,5.0,0.0365366367982275,0.0110957493208992,0,0,pachai,0,2019_Jun_16_1310,model
1,0.282,100,0,22.0,600,600,1,-1.0,0,45,1,10,pachai_01_-1_00_45_01.png,0.8119026961336693,5.0,0.0365366367982275,0.0110957493208992,0,0,pachai,0,2019_Jun_16_1310,model
2,0.282,100,0,22.0,600,600,1,-1.0,0,135,0,10,pachai_01_-1_00_135_00.png,0.8119026961336693,5.0,0.0365366367982275,0.0110957493208992,0,0,pachai,0,2019_Jun_16_1310,model
3,0.282,100,0,22.0,600,600,1,-1.0,0,135,1,10,pachai_01_-1_00_135_01.png,0.8119026961336693,5.0,0.0365366367982275,0.0110957493208992,0,0,pachai,0,2019_Jun_16_1310,model
4,0.282,100,0,22.0,600,600,1,-1.0,0,225,0,10,pachai_01_-1_00_225_00.png,0.8119026961336693,5.0,0.0365366367982275,0.0110957493208992,0,0,pachai,0,2019_Jun_16_1310,model
5,0.282,100,0,22.0,600,600,1,-1.0,0,225,1,10,pachai_01_-1_00_225_01.png,0.8119026961336693,5.0,0.0365366367982275,0.0110957493208992,0,0,pachai,0,2019_Jun_16_1310,model
6,0.282,100,0,22.0,600,600,1,-1.0,0,315,0,10,pachai_01_-1_00_315_00.png,0.8119026961336693,5.0,0.0365366367982275,0.0110957493208992,0,0,pachai,0,2019_Jun_16_1310,model
7,0.282,100,0,22.0,600,600,1,-1.0,0,315,1,10,pachai_01_-1_00_315_01.png,0.8119026961336693,5.0,0.0365366367982275,0.0110957493208992,0,0,pachai,0,2019_Jun_16_1310,model
8,0.282,100,0,22.0,600,600,1,-1.0,90,45,0,10,pachai_01_-1_90_45_00.png,0.8119026961336693,5.0,0.03638709260435219,0.01104670918506495,0,0,pachai,0,2019_Jun_16_1310,model
9,0.282,100,0,22.0,600,600,1,-1.0,90,45,1,10,pachai_01_-1_90_45_01.png,0.8119026961336693,5.0,0.03638709260435219,0.01104670918506495,0,0,pachai,0,2019_Jun_16_1310,model
10,0.282,100,0,22.0,600,600,1,-1.0,90,135,0,10,pachai_01_-1_90_135_00.png,0.8119026961336693,5.0,0.03638709260435219,0.01104670918506495,0,0,pachai,0,2019_Jun_16_1310,model
11,0.282,100,0,22.0,600,600,1,-1.0,90,135,1,10,pachai_01_-1_90_135_01.png,0.8119026961336693,5.0,0.03638709260435219,0.01104670918506495,0,0,pachai,0,2019_Jun_16_1310,model
12,0.282,100,0,22.0,600,600,1,-1.0,90,225,0,10,pachai_01_-1_90_225_00.png,0.8119026961336693,5.0,0.03638709260435219,0.01104670918506495,0,0,pachai,0,2019_Jun_16_1310,model
13,0.282,100,0,22.0,600,600,1,-1.0,90,225,1,10,pachai_01_-1_90_225_01.png,0.8119026961336693,5.0,0.03638709260435219,0.01104670918506495,0,0,pachai,0,2019_Jun_16_1310,model
14,0.282,100,0,22.0,600,600,1,-1.0,90,315,0,10,pachai_01_-1_90_315_00.png,0.8119026961336693,5.0,0.03638709260435219,0.01104670918506495,0,0,pachai,0,2019_Jun_16_1310,model
15,0.282,100,0,22.0,600,600,1,-1.0,90,315,1,10,pachai_01_-1_90_315_01.png,0.8119026961336693,5.0,0.03638709260435219,0.01104670918506495,0,0,pachai,0,2019_Jun_16_1310,model
16,0.282,100,0,22.0,600,600,1,-1.0,180,45,0,10,pachai_01_-1_180_45_00.png,0.8119026961336693,5.0,0.036387092604352196,0.011046709185064953,0,0,pachai,0,2019_Jun_16_1310,model
17,0.282,100,0,22.0,600,600,1,-1.0,180,45,1,10,pachai_01_-1_180_45_01.png,0.8119026961336693,5.0,0.036387092604352196,0.011046709185064953,0,0,pachai,0,2019_Jun_16_1310,model
18,0.282,100,0,22.0,600,600,1,-1.0,180,135,0,10,pachai_01_-1_180_135_00.png,0.8119026961336693,5.0,0.036387092604352196,0.011046709185064953,0,0,pachai,0,2019_Jun_16_1310,model
19,0.282,100,0,22.0,600,600,1,-1.0,180,135,1,10,pachai_01_-1_180_135_01.png,0.8119026961336693,5.0,0.036387092604352196,0.011046709185064953,0,0,pachai,0,2019_Jun_16_1310,model
20,0.282,100,0,22.0,600,600,1,-1.0,180,225,0,10,pachai_01_-1_180_225_00.png,0.8119026961336693,5.0,0.036387092604352196,0.011046709185064953,0,0,pachai,0,2019_Jun_16_1310,model
21,0.282,100,0,22.0,600,600,1,-1.0,180,225,1,10,pachai_01_-1_180_225_01.png,0.8119026961336693,5.0,0.036387092604352196,0.011046709185064953,0,0,pachai,0,2019_Jun_16_1310,model
22,0.282,100,0,22.0,600,600,1,-1.0,180,315,0,10,pachai_01_-1_180_315_00.png,0.8119026961336693,5.0,0.036387092604352196,0.011046709185064953,0,0,pachai,0,2019_Jun_16_1310,model
23,0.282,100,0,22.0,600,600,1,-1.0,180,315,1,10,pachai_01_-1_180_315_01.png,0.8119026961336693,5.0,0.036387092604352196,0.011046709185064953,0,0,pachai,0,2019_Jun_16_1310,model
24,0.282,100,0,22.0,600,600,1,-1.0,270,45,0,10,pachai_01_-1_270_45_00.png,0.8119026961336693,5.0,0.0365366367982275,0.011095749320899202,0,0,pachai,0,2019_Jun_16_1310,model
25,0.282,100,0,22.0,600,600,1,-1.0,270,45,1,10,pachai_01_-1_270_45_01.png,0.8119026961336693,5.0,0.0365366367982275,0.011095749320899202,0,0,pachai,0,2019_Jun_16_1310,model
26,0.282,100,0,22.0,600,600,1,-1.0,270,135,0,10,pachai_01_-1_270_135_00.png,0.8119026961336693,5.0,0.0365366367982275,0.011095749320899202,0,0,pachai,0,2019_Jun_16_1310,model
27,0.282,100,0,22.0,600,600,1,-1.0,270,135,1,10,pachai_01_-1_270_135_01.png,0.8119026961336693,5.0,0.0365366367982275,0.011095749320899202,0,0,pachai,0,2019_Jun_16_1310,model
28,0.282,100,0,22.0,600,600,1,-1.0,270,225,0,10,pachai_01_-1_270_225_00.png,0.8119026961336693,5.0,0.0365366367982275,0.011095749320899202,0,0,pachai,0,2019_Jun_16_1310,model
29,0.282,100,0,22.0,600,600,1,-1.0,270,225,1,10,pachai_01_-1_270_225_01.png,0.8119026961336693,5.0,0.0365366367982275,0.011095749320899202,0,0,pachai,0,2019_Jun_16_1310,model
30,0.282,100,0,22.0,600,600,1,-1.0,270,315,0,10,pachai_01_-1_270_315_00.png,0.8119026961336693,5.0,0.0365366367982275,0.011095749320899202,0,0,pachai,0,2019_Jun_16_1310,model
31,0.282,100,0,22.0,600,600,1,-1.0,270,315,1,10,pachai_01_-1_270_315_01.png,0.8119026961336693,5.0,0.0365366367982275,0.011095749320899202,0,0,pachai,0,2019_Jun_16_1310,model
32,0.282,100,0,22.0,600,600,1,0.5,0,45,0,10,pachai_01_0.5_00_45_00.png,0.8119026961336693,5.0,0.06300159113620495,0.01877965647079332,0,0,pachai,0,2019_Jun_16_1310,model
33,0.282,100,0,22.0,600,600,1,0.5,0,45,1,10,pachai_01_0.5_00_45_01.png,0.8119026961336693,5.0,0.06023902697245565,0.018260963232415276,0,0,pachai,0,2019_Jun_16_1310,model
34,0.282,100,0,22.0,600,600,1,0.5,0,135,0,10,pachai_01_0.5_00_135_00.png,0.8119026961336693,5.0,0.06300159113620495,0.01877965647079332,0,0,pachai,0,2019_Jun_16_1310,model
35,0.282,100,0,22.0,600,600,1,0.5,0,135,1,10,pachai_01_0.5_00_135_01.png,0.8119026961336693,5.0,0.06019461677350925,0.018239681033548217,0,0,pachai,0,2019_Jun_16_1310,model
36,0.282,100,0,22.0,600,600,1,0.5,0,225,0,10,pachai_01_0.5_00_225_00.png,0.8119026961336693,5.0,0.06300159113620495,0.01877965647079332,0,0,pachai,0,2019_Jun_16_1310,model
37,0.282,100,0,22.0,600,600,1,0.5,0,225,1,10,pachai_01_0.5_00_225_01.png,0.8119026961336693,5.0,0.060239026972455645,0.018250864526230988,0,0,pachai,0,2019_Jun_16_1310,model
38,0.282,100,0,22.0,600,600,1,0.5,0,315,0,10,pachai_01_0.5_00_315_00.png,0.8119026961336693,5.0,0.06300159113620495,0.01877965647079332,0,0,pachai,0,2019_Jun_16_1310,model
39,0.282,100,0,22.0,600,600,1,0.5,0,315,1,10,pachai_01_0.5_00_315_01.png,0.8119026961336693,5.0,0.060283402422939135,0.01827392300546075,0,0,pachai,0,2019_Jun_16_1310,model
40,0.282,100,0,22.0,600,600,1,0.5,90,45,0,10,pachai_01_0.5_90_45_00.png,0.8119026961336693,5.0,0.06291688574307847,0.018751462636808266,0,0,pachai,0,2019_Jun_16_1310,model
41,0.282,100,0,22.0,600,600,1,0.5,90,45,1,10,pachai_01_0.5_90_45_01.png,0.8119026961336693,5.0,0.060150171749133466,0.0182314318511445,0,0,pachai,0,2019_Jun_16_1310,model
42,0.282,100,0,22.0,600,600,1,0.5,90,135,0,10,pachai_01_0.5_90_135_00.png,0.8119026961336693,5.0,0.06291688574307847,0.018751462636808266,0,0,pachai,0,2019_Jun_16_1310,model
43,0.282,100,0,22.0,600,600,1,0.5,90,135,1,10,pachai_01_0.5_90_135_01.png,0.8119026961336693,5.0,0.06010569182207334,0.018220432315568365,0,0,pachai,0,2019_Jun_16_1310,model
44,0.282,100,0,22.0,600,600,1,0.5,90,225,0,10,pachai_01_0.5_90_225_00.png,0.8119026961336693,5.0,0.06291688574307847,0.018751462636808266,0,0,pachai,0,2019_Jun_16_1310,model
45,0.282,100,0,22.0,600,600,1,0.5,90,225,1,10,pachai_01_0.5_90_225_01.png,0.8119026961336693,5.0,0.060150171749133466,0.018221852535168854,0,0,pachai,0,2019_Jun_16_1310,model
46,0.282,100,0,22.0,600,600,1,0.5,90,315,0,10,pachai_01_0.5_90_315_00.png,0.8119026961336693,5.0,0.06291688574307847,0.018751462636808266,0,0,pachai,0,2019_Jun_16_1310,model
47,0.282,100,0,22.0,600,600,1,0.5,90,315,1,10,pachai_01_0.5_90_315_01.png,0.8119026961336693,5.0,0.06019461677350925,0.01823202981599186,0,0,pachai,0,2019_Jun_16_1310,model
48,0.282,100,0,22.0,600,600,1,0.5,180,45,0,10,pachai_01_0.5_180_45_00.png,0.8119026961336693,5.0,0.06291688574307848,0.018751462636808266,0,0,pachai,0,2019_Jun_16_1310,model
49,0.282,100,0,22.0,600,600,1,0.5,180,45,1,10,pachai_01_0.5_180_45_01.png,0.8119026961336693,5.0,0.060150171749133466,0.01822185253516886,0,0,pachai,0,2019_Jun_16_1310,model
50,0.282,100,0,22.0,600,600,1,0.5,180,135,0,10,pachai_01_0.5_180_135_00.png,0.8119026961336693,5.0,0.06291688574307848,0.018751462636808266,0,0,pachai,0,2019_Jun_16_1310,model
51,0.282,100,0,22.0,600,600,1,0.5,180,135,1,10,pachai_01_0.5_180_135_01.png,0.8119026961336693,5.0,0.06010569182207334,0.01822043231556836,0,0,pachai,0,2019_Jun_16_1310,model
52,0.282,100,0,22.0,600,600,1,0.5,180,225,0,10,pachai_01_0.5_180_225_00.png,0.8119026961336693,5.0,0.06291688574307848,0.018751462636808266,0,0,pachai,0,2019_Jun_16_1310,model
53,0.282,100,0,22.0,600,600,1,0.5,180,225,1,10,pachai_01_0.5_180_225_01.png,0.8119026961336693,5.0,0.06015017174913346,0.018231431851144498,0,0,pachai,0,2019_Jun_16_1310,model
54,0.282,100,0,22.0,600,600,1,0.5,180,315,0,10,pachai_01_0.5_180_315_00.png,0.8119026961336693,5.0,0.06291688574307848,0.018751462636808266,0,0,pachai,0,2019_Jun_16_1310,model
55,0.282,100,0,22.0,600,600,1,0.5,180,315,1,10,pachai_01_0.5_180_315_01.png,0.8119026961336693,5.0,0.06019461677350924,0.018232029815991858,0,0,pachai,0,2019_Jun_16_1310,model
56,0.282,100,0,22.0,600,600,1,0.5,270,45,0,10,pachai_01_0.5_270_45_00.png,0.8119026961336693,5.0,0.06300159113620495,0.01877965647079332,0,0,pachai,0,2019_Jun_16_1310,model
57,0.282,100,0,22.0,600,600,1,0.5,270,45,1,10,pachai_01_0.5_270_45_01.png,0.8119026961336693,5.0,0.06023902697245565,0.018250864526230988,0,0,pachai,0,2019_Jun_16_1310,model
58,0.282,100,0,22.0,600,600,1,0.5,270,135,0,10,pachai_01_0.5_270_135_00.png,0.8119026961336693,5.0,0.06300159113620495,0.01877965647079332,0,0,pachai,0,2019_Jun_16_1310,model
59,0.282,100,0,22.0,600,600,1,0.5,270,135,1,10,pachai_01_0.5_270_135_01.png,0.8119026961336693,5.0,0.06019461677350925,0.018239681033548213,0,0,pachai,0,2019_Jun_16_1310,model
60,0.282,100,0,22.0,600,600,1,0.5,270,225,0,10,pachai_01_0.5_270_225_00.png,0.8119026961336693,5.0,0.06300159113620495,0.01877965647079332,0,0,pachai,0,2019_Jun_16_1310,model
61,0.282,100,0,22.0,600,600,1,0.5,270,225,1,10,pachai_01_0.5_270_225_01.png,0.8119026961336693,5.0,0.06023902697245565,0.018260963232415273,0,0,pachai,0,2019_Jun_16_1310,model
62,0.282,100,0,22.0,600,600,1,0.5,270,315,0,10,pachai_01_0.5_270_315_00.png,0.8119026961336693,5.0,0.06300159113620495,0.01877965647079332,0,0,pachai,0,2019_Jun_16_1310,model
63,0.282,100,0,22.0,600,600,1,0.5,270,315,1,10,pachai_01_0.5_270_315_01.png,0.8119026961336693,5.0,0.06028340242293914,0.018273923005460754,0,0,pachai,0,2019_Jun_16_1310,model
64,0.282,100,0,22.0,600,600,1,0.9,0,45,0,10,pachai_01_0.9_00_45_00.png,0.8119026961336693,5.0,0.0689428387005837,0.020447281109958134,0,0,pachai,0,2019_Jun_16_1310,model
65,0.282,100,0,22.0,600,600,1,0.9,0,45,1,10,pachai_01_0.9_00_45_01.png,0.8119026961336693,5.0,0.0664051664455953,0.0199645251637442,0,0,pachai,0,2019_Jun_16_1310,model
66,0.282,100,0,22.0,600,600,1,0.9,0,135,0,10,pachai_01_0.9_00_135_00.png,0.8119026961336693,5.0,0.0689428387005837,0.020447281109958134,0,0,pachai,0,2019_Jun_16_1310,model
67,0.282,100,0,22.0,600,600,1,0.9,0,135,1,10,pachai_01_0.9_00_135_01.png,0.8119026961336693,5.0,0.06637515882723498,0.019955839656812184,0,0,pachai,0,2019_Jun_16_1310,model
68,0.282,100,0,22.0,600,600,1,0.9,0,225,0,10,pachai_01_0.9_00_225_00.png,0.8119026961336693,5.0,0.0689428387005837,0.020447281109958134,0,0,pachai,0,2019_Jun_16_1310,model
69,0.282,100,0,22.0,600,600,1,0.9,0,225,1,10,pachai_01_0.9_00_225_01.png,0.8119026961336693,5.0,0.0664051664455953,0.01996406930974043,0,0,pachai,0,2019_Jun_16_1310,model
70,0.282,100,0,22.0,600,600,1,0.9,0,315,0,10,pachai_01_0.9_00_315_00.png,0.8119026961336693,5.0,0.0689428387005837,0.020447281109958134,0,0,pachai,0,2019_Jun_16_1310,model
71,0.282,100,0,22.0,600,600,1,0.9,0,315,1,10,pachai_01_0.9_00_315_01.png,0.8119026961336693,5.0,0.0664351594729182,0.01997285022323066,0,0,pachai,0,2019_Jun_16_1310,model
72,0.282,100,0,22.0,600,600,1,0.9,90,45,0,10,pachai_01_0.9_90_45_00.png,0.8119026961336693,5.0,0.06886596621949673,0.020420579055107503,0,0,pachai,0,2019_Jun_16_1310,model
73,0.282,100,0,22.0,600,600,1,0.9,90,45,1,10,pachai_01_0.9_90_45_01.png,0.8119026961336693,5.0,0.06632511365164585,0.019937230038096405,0,0,pachai,0,2019_Jun_16_1310,model
74,0.282,100,0,22.0,600,600,1,0.9,90,135,0,10,pachai_01_0.9_90_135_00.png,0.8119026961336693,5.0,0.06886596621949673,0.020420579055107503,0,0,pachai,0,2019_Jun_16_1310,model
75,0.282,100,0,22.0,600,600,1,0.9,90,135,1,10,pachai_01_0.9_90_135_01.png,0.8119026961336693,5.0,0.06629506702693634,0.01992895184522348,0,0,pachai,0,2019_Jun_16_1310,model
76,0.282,100,0,22.0,600,600,1,0.9,90,225,0,10,pachai_01_0.9_90_225_00.png,0.8119026961336693,5.0,0.06886596621949673,0.020420579055107503,0,0,pachai,0,2019_Jun_16_1310,model
77,0.282,100,0,22.0,600,600,1,0.9,90,225,1,10,pachai_01_0.9_90_225_01.png,0.8119026961336693,5.0,0.06632511365164584,0.019936720080303182,0,0,pachai,0,2019_Jun_16_1310,model
78,0.282,100,0,22.0,600,600,1,0.9,90,315,0,10,pachai_01_0.9_90_315_00.png,0.8119026961336693,5.0,0.06886596621949673,0.020420579055107503,0,0,pachai,0,2019_Jun_16_1310,model
79,0.282,100,0,22.0,600,600,1,0.9,90,315,1,10,pachai_01_0.9_90_315_01.png,0.8119026961336693,5.0,0.06635514563242094,0.019945045944298124,0,0,pachai,0,2019_Jun_16_1310,model
80,0.282,100,0,22.0,600,600,1,0.9,180,45,0,10,pachai_01_0.9_180_45_00.png,0.8119026961336693,5.0,0.06886596621949674,0.020420579055107507,0,0,pachai,0,2019_Jun_16_1310,model
81,0.282,100,0,22.0,600,600,1,0.9,180,45,1,10,pachai_01_0.9_180_45_01.png,0.8119026961336693,5.0,0.06632511365164587,0.019936720080303186,0,0,pachai,0,2019_Jun_16_1310,model
82,0.282,100,0,22.0,600,600,1,0.9,180,135,0,10,pachai_01_0.9_180_135_00.png,0.8119026961336693,5.0,0.06886596621949674,0.020420579055107507,0,0,pachai,0,2019_Jun_16_1310,model
83,0.282,100,0,22.0,600,600,1,0.9,180,135,1,10,pachai_01_0.9_180_135_01.png,0.8119026961336693,5.0,0.06629506702693634,0.019928951845223482,0,0,pachai,0,2019_Jun_16_1310,model
84,0.282,100,0,22.0,600,600,1,0.9,180,225,0,10,pachai_01_0.9_180_225_00.png,0.8119026961336693,5.0,0.06886596621949674,0.020420579055107507,0,0,pachai,0,2019_Jun_16_1310,model
85,0.282,100,0,22.0,600,600,1,0.9,180,225,1,10,pachai_01_0.9_180_225_01.png,0.8119026961336693,5.0,0.06632511365164585,0.019937230038096408,0,0,pachai,0,2019_Jun_16_1310,model
86,0.282,100,0,22.0,600,600,1,0.9,180,315,0,10,pachai_01_0.9_180_315_00.png,0.8119026961336693,5.0,0.06886596621949674,0.020420579055107507,0,0,pachai,0,2019_Jun_16_1310,model
87,0.282,100,0,22.0,600,600,1,0.9,180,315,1,10,pachai_01_0.9_180_315_01.png,0.8119026961336693,5.0,0.06635514563242094,0.01994504594429813,0,0,pachai,0,2019_Jun_16_1310,model
88,0.282,100,0,22.0,600,600,1,0.9,270,45,0,10,pachai_01_0.9_270_45_00.png,0.8119026961336693,5.0,0.0689428387005837,0.020447281109958134,0,0,pachai,0,2019_Jun_16_1310,model
89,0.282,100,0,22.0,600,600,1,0.9,270,45,1,10,pachai_01_0.9_270_45_01.png,0.8119026961336693,5.0,0.0664051664455953,0.019964069309740432,0,0,pachai,0,2019_Jun_16_1310,model
90,0.282,100,0,22.0,600,600,1,0.9,270,135,0,10,pachai_01_0.9_270_135_00.png,0.8119026961336693,5.0,0.0689428387005837,0.020447281109958134,0,0,pachai,0,2019_Jun_16_1310,model
91,0.282,100,0,22.0,600,600,1,0.9,270,135,1,10,pachai_01_0.9_270_135_01.png,0.8119026961336693,5.0,0.06637515882723498,0.019955839656812184,0,0,pachai,0,2019_Jun_16_1310,model
92,0.282,100,0,22.0,600,600,1,0.9,270,225,0,10,pachai_01_0.9_270_225_00.png,0.8119026961336693,5.0,0.0689428387005837,0.020447281109958134,0,0,pachai,0,2019_Jun_16_1310,model
93,0.282,100,0,22.0,600,600,1,0.9,270,225,1,10,pachai_01_0.9_270_225_01.png,0.8119026961336693,5.0,0.0664051664455953,0.019964525163744196,0,0,pachai,0,2019_Jun_16_1310,model
94,0.282,100,0,22.0,600,600,1,0.9,270,315,0,10,pachai_01_0.9_270_315_00.png,0.8119026961336693,5.0,0.0689428387005837,0.020447281109958134,0,0,pachai,0,2019_Jun_16_1310,model
