,name,offset,left,blank,middle,blank.1,right,flank_distance,condition,viewing_distance,screen_pixel_size,image_height,image_width,image,sigma,K,rms,rrms,resp.keys,resp.rt,expName,session,date,participant
0,LargeLetters,5,blank,blank,r,blank,blank,-1.0,0,22,0.282,600,600,LargeLetters-00--1.png,0.5495844163028467,5.0,0.017792312634643346,0.010018621555722742,0,0,pelli,0,2019_Jun_17_1501,model
1,LargeLetters,10,blank,blank,r,blank,blank,-1.0,0,22,0.282,600,600,LargeLetters-00--1.png,0.8119026961336693,5.0,0.017792312634643346,0.010116981648100416,0,0,pelli,0,2019_Jun_17_1501,model
2,LargeLetters,15,blank,blank,r,blank,blank,-1.0,0,22,0.282,600,600,LargeLetters-00--1.png,1.1159124744489615,5.0,0.017792312634643346,0.00980967304083041,0,0,pelli,0,2019_Jun_17_1501,model
3,LargeLetters,20,blank,blank,r,blank,blank,-1.0,0,22,0.282,600,600,LargeLetters-00--1.png,1.4704269352512813,5.0,0.017792312634643346,0.009329771141550307,0,0,pelli,0,2019_Jun_17_1501,model
4,LargeLetters,5,a,blank,r,blank,a,0.05,0,22,0.282,600,600,LargeLetters-00-0.05.png,0.5495844163028467,5.0,0.03298034581196118,0.018360483155923167,0,0,pelli,0,2019_Jun_17_1501,model
5,LargeLetters,10,a,blank,r,blank,a,0.05,0,22,0.282,600,600,LargeLetters-00-0.05.png,0.8119026961336693,5.0,0.03298034581196118,0.017480896844285783,0,0,pelli,0,2019_Jun_17_1501,model
6,LargeLetters,15,a,blank,r,blank,a,0.05,0,22,0.282,600,600,LargeLetters-00-0.05.png,1.1159124744489615,5.0,0.03298034581196118,0.01621034940005191,0,0,pelli,0,2019_Jun_17_1501,model
7,LargeLetters,20,a,blank,r,blank,a,0.05,0,22,0.282,600,600,LargeLetters-00-0.05.png,1.4704269352512813,5.0,0.03298034581196118,0.015051594807272526,0,0,pelli,0,2019_Jun_17_1501,model
8,LargeLetters,5,a,blank,r,blank,a,0.1,0,22,0.282,600,600,LargeLetters-00-0.1.png,0.5495844163028467,5.0,0.03298034581196118,0.018394004272417216,0,0,pelli,0,2019_Jun_17_1501,model
9,LargeLetters,10,a,blank,r,blank,a,0.1,0,22,0.282,600,600,LargeLetters-00-0.1.png,0.8119026961336693,5.0,0.03298034581196118,0.017597410355007254,0,0,pelli,0,2019_Jun_17_1501,model
10,LargeLetters,15,a,blank,r,blank,a,0.1,0,22,0.282,600,600,LargeLetters-00-0.1.png,1.1159124744489615,5.0,0.03298034581196118,0.016517758360983452,0,0,pelli,0,2019_Jun_17_1501,model
11,LargeLetters,20,a,blank,r,blank,a,0.1,0,22,0.282,600,600,LargeLetters-00-0.1.png,1.4704269352512813,5.0,0.03298034581196118,0.015509173584786479,0,0,pelli,0,2019_Jun_17_1501,model
12,LargeLetters,5,a,blank,r,blank,a,0.15,0,22,0.282,600,600,LargeLetters-00-0.15.png,0.5495844163028467,5.0,0.03298034581196118,0.018372275882805232,0,0,pelli,0,2019_Jun_17_1501,model
13,LargeLetters,10,a,blank,r,blank,a,0.15,0,22,0.282,600,600,LargeLetters-00-0.15.png,0.8119026961336693,5.0,0.03298034581196118,0.017599553815644944,0,0,pelli,0,2019_Jun_17_1501,model
14,LargeLetters,15,a,blank,r,blank,a,0.15,0,22,0.282,600,600,LargeLetters-00-0.15.png,1.1159124744489615,5.0,0.03298034581196118,0.016667814918718,0,0,pelli,0,2019_Jun_17_1501,model
15,LargeLetters,20,a,blank,r,blank,a,0.15,0,22,0.282,600,600,LargeLetters-00-0.15.png,1.4704269352512813,5.0,0.03298034581196118,0.01584242383649434,0,0,pelli,0,2019_Jun_17_1501,model
16,LargeLetters,5,a,blank,r,blank,a,0.2,0,22,0.282,600,600,LargeLetters-00-0.2.png,0.5495844163028467,5.0,0.03298034581196118,0.01836125802641906,0,0,pelli,0,2019_Jun_17_1501,model
17,LargeLetters,10,a,blank,r,blank,a,0.2,0,22,0.282,600,600,LargeLetters-00-0.2.png,0.8119026961336693,5.0,0.03298034581196118,0.017580937728723895,0,0,pelli,0,2019_Jun_17_1501,model
18,LargeLetters,15,a,blank,r,blank,a,0.2,0,22,0.282,600,600,LargeLetters-00-0.2.png,1.1159124744489615,5.0,0.03298034581196118,0.016692573536494656,0,0,pelli,0,2019_Jun_17_1501,model
19,LargeLetters,20,a,blank,r,blank,a,0.2,0,22,0.282,600,600,LargeLetters-00-0.2.png,1.4704269352512813,5.0,0.03298034581196118,0.015952008318192188,0,0,pelli,0,2019_Jun_17_1501,model
20,LargeLetters,5,a,blank,r,blank,a,0.3,0,22,0.282,600,600,LargeLetters-00-0.3.png,0.5495844163028467,5.0,0.03298034581196118,0.018344507579617024,0,0,pelli,0,2019_Jun_17_1501,model
21,LargeLetters,10,a,blank,r,blank,a,0.3,0,22,0.282,600,600,LargeLetters-00-0.3.png,0.8119026961336693,5.0,0.03298034581196118,0.01751183203568296,0,0,pelli,0,2019_Jun_17_1501,model
22,LargeLetters,15,a,blank,r,blank,a,0.3,0,22,0.282,600,600,LargeLetters-00-0.3.png,1.1159124744489615,5.0,0.03298034581196118,0.016649235374772295,0,0,pelli,0,2019_Jun_17_1501,model
23,LargeLetters,20,a,blank,r,blank,a,0.3,0,22,0.282,600,600,LargeLetters-00-0.3.png,1.4704269352512813,5.0,0.03298034581196118,0.016119444897326245,0,0,pelli,0,2019_Jun_17_1501,model
24,LargeLetters,5,a,blank,r,blank,a,0.4,0,22,0.282,600,600,LargeLetters-00-0.4.png,0.5495844163028467,5.0,0.03298034581196118,0.018343470103103315,0,0,pelli,0,2019_Jun_17_1501,model
25,LargeLetters,10,a,blank,r,blank,a,0.4,0,22,0.282,600,600,LargeLetters-00-0.4.png,0.8119026961336693,5.0,0.03298034581196118,0.01749297448547253,0,0,pelli,0,2019_Jun_17_1501,model
26,LargeLetters,15,a,blank,r,blank,a,0.4,0,22,0.282,600,600,LargeLetters-00-0.4.png,1.1159124744489615,5.0,0.03298034581196118,0.016594191961552377,0,0,pelli,0,2019_Jun_17_1501,model
27,LargeLetters,20,a,blank,r,blank,a,0.4,0,22,0.282,600,600,LargeLetters-00-0.4.png,1.4704269352512813,5.0,0.03298034581196118,0.01610093703061854,0,0,pelli,0,2019_Jun_17_1501,model
28,LargeLetters,5,a,blank,r,blank,a,0.6,0,22,0.282,600,600,LargeLetters-00-0.6.png,0.5495844163028467,5.0,0.03298034581196118,0.01834340262702339,0,0,pelli,0,2019_Jun_17_1501,model
29,LargeLetters,10,a,blank,r,blank,a,0.6,0,22,0.282,600,600,LargeLetters-00-0.6.png,0.8119026961336693,5.0,0.03298034581196118,0.017487144434801486,0,0,pelli,0,2019_Jun_17_1501,model
30,LargeLetters,15,a,blank,r,blank,a,0.6,0,22,0.282,600,600,LargeLetters-00-0.6.png,1.1159124744489615,5.0,0.03298034581196118,0.01654595864144737,0,0,pelli,0,2019_Jun_17_1501,model
31,LargeLetters,20,a,blank,r,blank,a,0.6,0,22,0.282,600,600,LargeLetters-00-0.6.png,1.4704269352512813,5.0,0.03298034581196118,0.01600539900088285,0,0,pelli,0,2019_Jun_17_1501,model
32,SmallLetters,5,blank,blank,r,blank,blank,-1.0,0,22,0.282,600,600,SmallLetters-00--1.png,0.5495844163028467,5.0,0.007995255565506211,0.004727850876715422,0,0,pelli,0,2019_Jun_17_1501,model
33,SmallLetters,10,blank,blank,r,blank,blank,-1.0,0,22,0.282,600,600,SmallLetters-00--1.png,0.8119026961336693,5.0,0.007995255565506211,0.0039280318252318865,0,0,pelli,0,2019_Jun_17_1501,model
34,SmallLetters,15,blank,blank,r,blank,blank,-1.0,0,22,0.282,600,600,SmallLetters-00--1.png,1.1159124744489615,5.0,0.007995255565506211,0.0035587826748134303,0,0,pelli,0,2019_Jun_17_1501,model
35,SmallLetters,20,blank,blank,r,blank,blank,-1.0,0,22,0.282,600,600,SmallLetters-00--1.png,1.4704269352512813,5.0,0.007995255565506211,0.0032814059132615916,0,0,pelli,0,2019_Jun_17_1501,model
36,SmallLetters,5,a,blank,r,blank,a,0.05,0,22,0.282,600,600,SmallLetters-00-0.05.png,0.5495844163028467,5.0,0.01481378411838175,0.008305028164730704,0,0,pelli,0,2019_Jun_17_1501,model
37,SmallLetters,10,a,blank,r,blank,a,0.05,0,22,0.282,600,600,SmallLetters-00-0.05.png,0.8119026961336693,5.0,0.01481378411838175,0.006506942679844633,0,0,pelli,0,2019_Jun_17_1501,model
38,SmallLetters,15,a,blank,r,blank,a,0.05,0,22,0.282,600,600,SmallLetters-00-0.05.png,1.1159124744489615,5.0,0.01481378411838175,0.005934176392790238,0,0,pelli,0,2019_Jun_17_1501,model
39,SmallLetters,20,a,blank,r,blank,a,0.05,0,22,0.282,600,600,SmallLetters-00-0.05.png,1.4704269352512813,5.0,0.01481378411838175,0.005631709826967038,0,0,pelli,0,2019_Jun_17_1501,model
40,SmallLetters,5,a,blank,r,blank,a,0.1,0,22,0.282,600,600,SmallLetters-00-0.1.png,0.5495844163028467,5.0,0.01481378411838175,0.008304895723662805,0,0,pelli,0,2019_Jun_17_1501,model
41,SmallLetters,10,a,blank,r,blank,a,0.1,0,22,0.282,600,600,SmallLetters-00-0.1.png,0.8119026961336693,5.0,0.01481378411838175,0.00667169332502275,0,0,pelli,0,2019_Jun_17_1501,model
42,SmallLetters,15,a,blank,r,blank,a,0.1,0,22,0.282,600,600,SmallLetters-00-0.1.png,1.1159124744489615,5.0,0.01481378411838175,0.0061987421702926265,0,0,pelli,0,2019_Jun_17_1501,model
43,SmallLetters,20,a,blank,r,blank,a,0.1,0,22,0.282,600,600,SmallLetters-00-0.1.png,1.4704269352512813,5.0,0.01481378411838175,0.0058643677698446564,0,0,pelli,0,2019_Jun_17_1501,model
44,SmallLetters,5,a,blank,r,blank,a,0.15,0,22,0.282,600,600,SmallLetters-00-0.15.png,0.5495844163028467,5.0,0.01481378411838175,0.008277623846187528,0,0,pelli,0,2019_Jun_17_1501,model
45,SmallLetters,10,a,blank,r,blank,a,0.15,0,22,0.282,600,600,SmallLetters-00-0.15.png,0.8119026961336693,5.0,0.01481378411838175,0.006702380915601209,0,0,pelli,0,2019_Jun_17_1501,model
46,SmallLetters,15,a,blank,r,blank,a,0.15,0,22,0.282,600,600,SmallLetters-00-0.15.png,1.1159124744489615,5.0,0.01481378411838175,0.006340386082935243,0,0,pelli,0,2019_Jun_17_1501,model
47,SmallLetters,20,a,blank,r,blank,a,0.15,0,22,0.282,600,600,SmallLetters-00-0.15.png,1.4704269352512813,5.0,0.01481378411838175,0.0060419296705088305,0,0,pelli,0,2019_Jun_17_1501,model
48,SmallLetters,5,a,blank,r,blank,a,0.2,0,22,0.282,600,600,SmallLetters-00-0.2.png,0.5495844163028467,5.0,0.01481378411838175,0.008269162759054052,0,0,pelli,0,2019_Jun_17_1501,model
49,SmallLetters,10,a,blank,r,blank,a,0.2,0,22,0.282,600,600,SmallLetters-00-0.2.png,0.8119026961336693,5.0,0.01481378411838175,0.006696416454812803,0,0,pelli,0,2019_Jun_17_1501,model
50,SmallLetters,15,a,blank,r,blank,a,0.2,0,22,0.282,600,600,SmallLetters-00-0.2.png,1.1159124744489615,5.0,0.01481378411838175,0.006376670404615403,0,0,pelli,0,2019_Jun_17_1501,model
51,SmallLetters,20,a,blank,r,blank,a,0.2,0,22,0.282,600,600,SmallLetters-00-0.2.png,1.4704269352512813,5.0,0.01481378411838175,0.006106668209279684,0,0,pelli,0,2019_Jun_17_1501,model
52,SmallLetters,5,a,blank,r,blank,a,0.3,0,22,0.282,600,600,SmallLetters-00-0.3.png,0.5495844163028467,5.0,0.01481378411838175,0.00825981015678691,0,0,pelli,0,2019_Jun_17_1501,model
53,SmallLetters,10,a,blank,r,blank,a,0.3,0,22,0.282,600,600,SmallLetters-00-0.3.png,0.8119026961336693,5.0,0.01481378411838175,0.006658031149321697,0,0,pelli,0,2019_Jun_17_1501,model
54,SmallLetters,15,a,blank,r,blank,a,0.3,0,22,0.282,600,600,SmallLetters-00-0.3.png,1.1159124744489615,5.0,0.01481378411838175,0.006403215736920296,0,0,pelli,0,2019_Jun_17_1501,model
55,SmallLetters,20,a,blank,r,blank,a,0.3,0,22,0.282,600,600,SmallLetters-00-0.3.png,1.4704269352512813,5.0,0.01481378411838175,0.006242353146150732,0,0,pelli,0,2019_Jun_17_1501,model
56,SmallLetters,5,a,blank,r,blank,a,0.4,0,22,0.282,600,600,SmallLetters-00-0.4.png,0.5495844163028467,5.0,0.01481378411838175,0.008259461100354325,0,0,pelli,0,2019_Jun_17_1501,model
57,SmallLetters,10,a,blank,r,blank,a,0.4,0,22,0.282,600,600,SmallLetters-00-0.4.png,0.8119026961336693,5.0,0.01481378411838175,0.006646772995267078,0,0,pelli,0,2019_Jun_17_1501,model
58,SmallLetters,15,a,blank,r,blank,a,0.4,0,22,0.282,600,600,SmallLetters-00-0.4.png,1.1159124744489615,5.0,0.01481378411838175,0.006384553465950365,0,0,pelli,0,2019_Jun_17_1501,model
59,SmallLetters,20,a,blank,r,blank,a,0.4,0,22,0.282,600,600,SmallLetters-00-0.4.png,1.4704269352512813,5.0,0.01481378411838175,0.006263579823533456,0,0,pelli,0,2019_Jun_17_1501,model
60,SmallLetters,5,a,blank,r,blank,a,0.6,0,22,0.282,600,600,SmallLetters-00-0.6.png,0.5495844163028467,5.0,0.01481378411838175,0.008259445311050271,0,0,pelli,0,2019_Jun_17_1501,model
61,SmallLetters,10,a,blank,r,blank,a,0.6,0,22,0.282,600,600,SmallLetters-00-0.6.png,0.8119026961336693,5.0,0.01481378411838175,0.006643511019431992,0,0,pelli,0,2019_Jun_17_1501,model
62,SmallLetters,15,a,blank,r,blank,a,0.6,0,22,0.282,600,600,SmallLetters-00-0.6.png,1.1159124744489615,5.0,0.01481378411838175,0.006362749065534163,0,0,pelli,0,2019_Jun_17_1501,model
63,SmallLetters,20,a,blank,r,blank,a,0.6,0,22,0.282,600,600,SmallLetters-00-0.6.png,1.4704269352512813,5.0,0.01481378411838175,0.006244325095956633,0,0,pelli,0,2019_Jun_17_1501,model
